dokument,phase,run_id,run_ts,invoice_idx,quality,commodity,prompt_language,prompt_strategy,model,model_label,prompt_tokens,completion_tokens,total_tokens,latency_ms,tp,fp,fn,precision,recall,f1,null_rate,gt_present,cost_usd,cost_czk,api_error
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,7792,109,7901,1558.708429336548,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.0032912,0.0773432,
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,7792,98,7890,1287.4746322631836,4,5,2,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.1818181818181818,11,0.02046,0.4808099999999999,
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,7792,108,7900,1452.2545337677002,6,4,1,0.6,0.8571428571428571,0.7058823529411764,0.0909090909090909,11,0.02056,0.48316,
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,7792,97,7889,1850.334405899048,7,1,3,0.875,0.7,0.7777777777777777,0.2727272727272727,11,0.01636,0.3844599999999999,
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,7792,97,7889,1062.8032684326172,7,1,3,0.875,0.7,0.7777777777777777,0.2727272727272727,11,0.01636,0.3844599999999999,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,7563,130,7693,1333.5700035095217,5,6,0,0.4545454545454545,1.0,0.625,0.0,11,0.0008083,0.01899505,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,7563,110,7673,2072.678565979004,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.00120045,0.028210575,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,7563,106,7669,1441.439867019653,6,4,1,0.6,0.8571428571428571,0.7058823529411764,0.0909090909090909,11,0.0031948,0.0750778,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,7563,103,7666,1646.456003189087,9,0,2,1.0,0.8181818181818182,0.9,0.1818181818181818,11,0.0199375,0.46853125,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,7563,108,7671,1041.0690307617188,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.0199875,0.4697062499999999,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,7563,105,7668,1232.6738834381104,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.015966,0.375201,
416359d705,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,10,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,7563,105,7668,1138.2906436920166,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.015966,0.375201,
