komodita,pocet_stran
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,2
plyn_vo,4
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,2
plyn_vo,3
plyn_vo,4
plyn_vo,4
plyn_vo,3
plyn_vo,5
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,3
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,3
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,2
plyn_vo,3
plyn_vo,4
plyn_vo,3
plyn_vo,4
plyn_vo,3
plyn_vo,4
plyn_vo,3
plyn_vo,4
plyn_vo,2
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,4
plyn_vo,6
plyn_vo,2
plyn_vo,4
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
plyn_vo,3
teplo,2
teplo,4
teplo,3
teplo,4
teplo,4
teplo,3
teplo,3
teplo,9
teplo,4
teplo,3
teplo,4
teplo,4
teplo,10
teplo,10
teplo,6
teplo,2
teplo,6
teplo,2
teplo,3
teplo,2
teplo,6
teplo,8
teplo,3
teplo,10
teplo,6
teplo,2
teplo,1
teplo,12
teplo,10
teplo,10
teplo,3
teplo,10
teplo,8
teplo,10
teplo,2
teplo,5
teplo,3
teplo,2
teplo,2
teplo,1
teplo,10
teplo,8
teplo,8
teplo,3
teplo,2
teplo,2
teplo,4
teplo,4
teplo,3
teplo,10
teplo,3
teplo,2
teplo,2
teplo,12
teplo,3
teplo,4
teplo,3
teplo,3
teplo,10
teplo,5
teplo,22
teplo,3
teplo,10
teplo,5
teplo,3
teplo,2
teplo,4
teplo,6
teplo,2
teplo,4
teplo,3
teplo,6
teplo,4
teplo,6
teplo,4
teplo,4
teplo,19
teplo,6
teplo,5
teplo,3
teplo,12
teplo,3
teplo,6
teplo,12
teplo,4
teplo,8
teplo,3
teplo,2
teplo,10
teplo,1
teplo,10
teplo,10
teplo,3
teplo,10
teplo,5
teplo,2
teplo,8
teplo,4
teplo,2
teplo,9
teplo,6
teplo,4
teplo,6
teplo,12
teplo,4
teplo,10
teplo,8
teplo,2
teplo,5
teplo,4
teplo,10
teplo,3
teplo,3
teplo,6
teplo,4
teplo,4
teplo,6
teplo,6
teplo,4
teplo,6
teplo,10
teplo,4
teplo,10
teplo,10
teplo,3
teplo,10
teplo,10
teplo,5
teplo,10
teplo,2
teplo,2
teplo,4
teplo,2
teplo,10
teplo,3
teplo,7
teplo,10
teplo,10
teplo,3
teplo,4
teplo,4
teplo,5
teplo,1
teplo,4
teplo,10
teplo,3
teplo,4
teplo,3
teplo,4
teplo,10
teplo,10
teplo,3
teplo,1
teplo,10
teplo,2
teplo,8
teplo,6
teplo,5
teplo,3
teplo,5
teplo,2
teplo,2
teplo,1
teplo,4
teplo,5
teplo,12
teplo,6
teplo,2
teplo,4
teplo,3
teplo,5
teplo,3
teplo,4
teplo,10
teplo,4
teplo,3
teplo,3
teplo,3
teplo,2
teplo,4
teplo,4
